ID,Tempat Wisata,Tahun,Wisnus,Wisman
378,Penulisan,2022,0,0
379,Penulisan,2023,16,726
380,Penulisan,2024,46,675
381,Pura Kehen,2020,24,1899
382,Pura Kehen,2021,0,0
383,Pura Kehen,2022,265,8275
384,Pura Kehen,2023,203,14831
385,Pura Kehen,2024,200,32314
386,Penelokan Batur,2020,34763,114597
387,Penelokan Batur,2021,21850,667
388,Penelokan Batur,2022,359143,185524
389,Penelokan Batur,2023,355712,409252
390,Penelokan Batur,2024,332091,275119
391,Desa Truyan,2020,1101,242
392,Desa Truyan,2021,876,8
393,Desa Truyan,2022,502,60
394,Desa Truyan,2023,2399,505
395,Desa Truyan,2024,1493,815
396,Desa Penglipuran,2020,29803,5731
397,Desa Penglipuran,2021,146180,565
398,Desa Penglipuran,2022,564383,43749
399,Desa Penglipuran,2023,789315,112461
400,Desa Penglipuran,2024,1022971,152160
401,Kerta Gosa/Museum Semarajaya,2020,1749,4062
402,Kerta Gosa/Museum Semarajaya,2021,868,42
403,Kerta Gosa/Museum Semarajaya,2022,2673,16091
404,Kerta Gosa/Museum Semarajaya,2023,4344,48641
405,Kerta Gosa/Museum Semarajaya,2024,3193,33780
406,Goa Lawah,2020,924,7346
407,Goa Lawah,2021,122,13
408,Goa Lawah,2022,85,2485
409,Goa Lawah,2023,2268,46521
410,Goa Lawah,2024,1368,38067
411,Kawasan Nusa Penida,2020,89469,9941
412,Kawasan Nusa Penida,2021,162,0
413,Kawasan Nusa Penida,2022,36304,0
414,Kawasan Nusa Penida,2023,2075152,0
415,Kawasan Nusa Penida,2024,735575,133610
416,Puri Karangasem,2020,85,649
417,Puri Karangasem,2021,249,44
418,Puri Karangasem,2022,506,1712
419,Puri Karangasem,2023,574,4030
420,Puri Karangasem,2024,916,5330
421,Besakih,2020,13195,31644
422,Besakih,2021,6150,2545
423,Besakih,2022,19898,77603
424,Besakih,2023,28841,183479
425,Besakih,2024,25010,190724
426,Tirta Gangga,2020,49275,48816
427,Tirta Gangga,2021,35779,1963
428,Tirta Gangga,2022,33663,76160
429,Tirta Gangga,2023,22567,151414
430,Tirta Gangga,2024,53271,402985
431,Tenganan,2020,2922,4441
432,Tenganan,2021,2087,405
433,Tenganan,2022,4835,12846
434,Tenganan,2023,7440,31360
435,Tenganan,2024,8171,32018
436,Padangbai,2020,11,1858
437,Padangbai,2021,46,87
438,Padangbai,2022,187,3350
439,Padangbai,2023,19,7452
440,Padangbai,2024,42,2689
441,Jemeluk,2020,0,980
442,Jemeluk,2021,24,112
443,Jemeluk,2022,250,2372
444,Jemeluk,2023,169,5115
445,Jemeluk,2024,140,2132
446,Telaga Waja,2020,2484,5004
447,Telaga Waja,2021,258,9
448,Telaga Waja,2022,821,1315
449,Telaga Waja,2023,2195,1143
450,Telaga Waja,2024,1406,619
451,Tulamben,2020,398,6201
452,Tulamben,2021,238,269
453,Tulamben,2022,2461,12289
454,Tulamben,2023,3297,25242
455,Tulamben,2024,1245,8603
456,Yeh Malet,2020,3454,345
457,Yeh Malet,2021,14056,0
458,Yeh Malet,2022,15309,347
459,Yeh Malet,2023,19098,592
460,Yeh Malet,2024,14659,275
461,Candi Dasa,2020,827,928
462,Candi Dasa,2021,0,91
463,Candi Dasa,2022,1543,1433
464,Candi Dasa,2023,2006,2956
465,Candi Dasa,2024,2825,3139
466,Taman Ujung,2020,83915,20302
467,Taman Ujung,2021,61359,1932
468,Taman Ujung,2022,74483,40053
469,Taman Ujung,2023,0,0
470,Taman Ujung,2024,0,0
471,Putung,2020,0,0
472,Putung,2021,0,0
473,Putung,2022,0,0
474,Putung,2023,1047,1075
475,Putung,2024,2662,2151
476,Labuhan/ODC,2020,390,570
477,Labuhan/ODC,2021,0,0
478,Labuhan/ODC,2022,0,0
479,Labuhan/ODC,2023,0,0
480,Labuhan/ODC,2024,0,0
481,Bukit Nampo,2020,30236,1310
482,Bukit Nampo,2021,27082,846
483,Bukit Nampo,2022,26434,2711
484,Bukit Nampo,2023,11974,5024
485,Bukit Nampo,2024,14570,2590
486,Bukit Asah,2020,58853,11107
487,Bukit Asah,2021,29444,2713
488,Bukit Asah,2022,62352,30924
489,Bukit Asah,2023,92047,77750
490,Bukit Asah,2024,80146,78154
491,Taman Edelweis,2020,0,0
492,Taman Edelweis,2021,28077,0
493,Taman Edelweis,2022,11735,642
